date,open,high,low,close,volume
2015-10-27,79.5000,80.9500,79.5000,80.9100,4771583
2015-10-28,81.2000,83.1000,80.3900,83.0700,5710349
2015-10-29,82.3000,83.5700,81.2900,82.0000,5158560
2015-10-30,82.0800,82.5500,81.5700,81.5700,4044278
2015-11-02,81.1400,82.1800,80.8100,82.0400,3473936
2015-11-03,82.2300,82.5400,81.1300,81.6700,4824986
2015-11-04,82.1500,82.1500,80.9271,81.0500,3401909
2015-11-05,81.0000,81.4000,79.6600,80.6100,3786981
2015-11-06,80.3000,80.5900,78.4400,80.4600,6081925
2015-11-09,80.0300,80.2900,78.5800,79.3600,4160242
2015-11-10,78.7100,80.3200,78.7100,80.0600,3302610
2015-11-11,80.1000,81.2800,79.9700,80.7000,3323442
2015-11-12,80.5500,80.7600,79.8000,79.8600,3647843
2015-11-13,79.6600,80.2700,79.1800,79.5500,3638556
2015-11-16,80.0000,81.2550,79.9800,81.2300,3318932
2015-11-17,80.9300,82.4300,80.6300,81.3000,3012325
2015-11-18,81.4900,83.7550,81.3900,83.6500,3916618
2015-11-19,83.2000,83.8800,82.7250,83.7200,3156077
2015-11-20,84.3000,85.5000,84.1100,84.4700,4251456
2015-11-23,84.5000,84.9200,84.1200,84.7400,4033055
2015-11-24,83.5600,84.3200,83.0500,83.8800,3431194
2015-11-25,83.8800,84.4200,83.5500,83.7400,2529703
2015-11-27,83.7700,84.2500,83.6000,83.6500,1253753
2015-11-30,83.7600,84.0300,82.0400,82.0400,6561475
2015-12-01,84.2100,86.5300,83.3400,86.5000,7368312
2015-12-02,86.2600,86.7300,84.4200,84.5600,4444774
2015-12-03,84.6500,84.8400,82.5600,83.0600,3669722
2015-12-04,83.4700,87.2800,83.4300,86.6200,6987562
2015-12-07,87.4500,88.1600,85.8900,86.3800,4379047
2015-12-08,85.6200,87.6700,85.5650,86.4100,4761004
2015-12-09,86.0200,86.3200,83.5700,83.8600,5479503
2015-12-10,84.2300,85.5100,83.3600,84.9100,3667215
2015-12-11,83.8000,84.3800,83.1200,83.2900,3737612
2015-12-14,83.3600,84.7100,82.9700,84.6800,5208392
2015-12-15,85.1800,85.9800,85.0200,85.5200,3975544
2015-12-16,86.0000,86.5800,84.0500,86.2900,2983371
2015-12-17,86.7500,87.2050,86.2000,86.2200,3928182
2015-12-18,85.5700,85.9800,84.7700,84.7700,5800701
2015-12-21,85.7200,86.4500,85.1500,86.0400,3742321
2015-12-22,86.2700,86.4700,85.2700,85.9100,2446147
2015-12-23,86.3600,86.8700,86.1300,86.2000,2804151
2015-12-24,85.9800,86.1500,85.4700,85.8500,1486939
2015-12-28,85.5800,85.7000,84.8900,85.4900,2031745
2015-12-29,85.8400,86.8700,85.6000,86.2500,2097692
2015-12-30,86.4500,87.1000,86.1400,86.2000,1969818
2015-12-31,85.7200,85.7500,84.0800,84.2600,3178502
2016-01-04,83.4000,83.6000,81.7900,82.8700,6907076
2016-01-05,82.9000,85.4000,82.8700,84.1100,7463864
2016-01-06,82.6900,84.8800,82.4950,83.5800,6628332
2016-01-07,81.6300,82.8100,80.8300,81.4100,5832405
2016-01-08,81.6700,82.4850,81.0400,81.2500,5880152
2016-01-11,81.3000,81.9200,78.8300,80.2700,4889341
2016-01-12,80.6100,81.0000,79.5200,80.4000,4329031
2016-01-13,80.7400,80.8162,79.0900,79.3000,4628359
2016-01-14,79.2800,82.7300,78.6200,82.5400,8253667
2016-01-15,80.6900,81.5800,80.0800,81.2400,6673512
2016-01-19,82.3100,84.8000,81.9600,83.2300,9161078
2016-01-20,81.8500,83.4700,80.4100,82.6200,8351906
2016-01-21,82.5600,82.6200,80.5900,81.4000,4930961
2016-01-22,82.4000,83.1600,81.9100,82.4800,3456326
2016-01-25,82.5000,83.2000,81.6200,81.7100,2632771
2016-01-26,81.7500,82.1700,80.9100,81.9600,4583353
2016-01-27,81.6100,83.2500,80.9600,81.7600,4341852
2016-01-28,81.8700,82.4900,76.5400,76.8100,10128508
2016-01-29,77.3600,79.4200,77.2300,79.1000,7042494
2016-02-01,78.2100,79.1600,77.2800,78.4000,4056000
2016-02-02,77.6600,78.3000,76.0900,76.3000,4804168
2016-02-03,76.4600,77.5500,74.1800,76.0900,6966427
2016-02-04,75.9500,76.5300,73.4400,74.2800,6339210
2016-02-05,74.1600,75.8200,73.5501,74.3200,6312782
2016-02-08,73.5500,74.5800,72.8300,74.1900,4348609
2016-02-09,73.4300,74.9600,72.7200,73.7400,5159999
2016-02-10,73.7300,74.8700,72.9800,73.0700,4748135
2016-02-11,72.2000,72.6300,70.8300,71.4200,5425363
2016-02-12,71.5700,71.7300,70.4300,71.2700,6332599
2016-02-16,71.9500,73.4200,71.9300,73.3300,4811214
2016-02-17,74.0100,74.9200,73.0900,74.6800,4000056
2016-02-18,73.4200,74.5500,73.1600,73.4700,5620449
2016-02-19,72.6900,73.0700,72.2000,72.6100,6650801
2016-02-22,72.9100,73.6400,72.1000,73.0100,5672321
2016-02-23,73.1000,74.5000,73.0600,73.4700,4411185
2016-02-24,73.3300,74.2800,72.6400,74.1000,3636052
2016-02-25,74.2700,74.8900,73.7700,74.8200,4307058
2016-02-26,75.4200,75.7900,73.4100,73.6000,4807828
2016-02-29,73.3700,73.3700,71.9800,72.0000,5729917
2016-03-01,72.6300,72.8100,71.8600,72.7400,4541719
2016-03-02,72.7300,74.0500,72.4400,74.0200,6738839
2016-03-03,73.8000,73.8900,72.5800,73.2500,4526493
2016-03-04,73.3700,74.0600,72.9000,73.6000,3481560
2016-03-07,73.1700,73.9600,72.8000,73.4000,3443068
2016-03-08,72.9400,74.5500,72.8900,73.0000,3260547
2016-03-09,73.5100,73.9400,73.0000,73.5400,2372034
2016-03-10,74.0000,74.2100,72.4300,73.0200,4419264
2016-03-11,73.4700,74.9500,73.1900,74.6500,3527002
2016-03-14,74.2600,74.6000,73.7900,73.9100,3201814
2016-03-15,71.6500,72.0000,69.6000,71.2400,13748156
2016-03-16,71.2900,72.9000,71.1700,72.4800,5287378
2016-03-17,72.2300,72.3500,67.8800,69.0600,15421052
2016-03-18,69.2000,71.0500,69.0600,70.9500,10131644
2016-03-21,70.8000,71.0500,69.8400,70.2500,5900051
2016-03-22,70.2100,72.2400,70.1600,71.9200,7655351
2016-03-23,72.1700,72.2300,70.9100,71.1700,3884445
2016-03-24,70.6500,71.4400,70.2000,71.1200,2892926
2016-03-28,71.3500,71.4650,70.3800,70.6200,2661880
2016-03-29,70.7400,71.9400,70.6600,71.7000,3814778
2016-03-30,71.9800,72.3300,71.0700,71.7800,3081028
2016-03-31,71.7700,72.3300,71.1000,72.0100,3680000
2016-04-01,71.6000,73.7000,71.5300,73.4200,4083598
2016-04-04,73.5600,73.7900,72.8900,73.1800,2796315
2016-04-05,72.7800,73.6500,72.4800,73.0400,3591779
2016-04-06,72.8000,75.0601,72.8000,74.7600,5669094
2016-04-07,74.5100,75.1600,73.8500,74.5900,3724102
2016-04-08,75.2800,75.2800,73.8600,74.3900,3225341
2016-04-11,74.4800,74.7400,73.7950,73.9500,3351100
2016-04-12,73.7800,75.2900,73.5300,74.5700,2849823
2016-04-13,74.7300,75.2350,74.0800,75.1600,2341545
2016-04-14,75.3000,75.8300,74.7950,75.6300,3022081
2016-04-15,75.6200,76.2500,75.0901,75.5300,3007480
2016-04-18,75.5800,77.2600,75.1900,77.2200,4089198
2016-04-19,77.5800,78.5000,76.6400,77.2500,3819609
2016-04-20,77.2800,77.7700,76.5750,77.0800,4049334
2016-04-21,77.1700,78.1000,76.9100,77.3700,3286496
2016-04-22,77.1000,77.9400,76.9340,77.8300,2697164
2016-04-25,77.4600,78.0000,77.1500,77.9400,3767105
2016-04-26,76.6200,78.3000,76.0900,76.2700,5347814
2016-04-27,76.5200,77.1600,75.8200,76.5100,3690869
2016-04-28,76.1200,76.6600,75.6720,76.4600,4382989
2016-04-29,76.5100,76.5100,75.1000,75.5300,3386635
2016-05-02,75.9500,77.0800,75.8100,76.7500,3572098
2016-05-03,76.3400,76.6500,75.5897,76.2500,3270704
2016-05-04,75.1700,75.6200,74.6301,74.8700,4176841
2016-05-05,74.7200,75.3900,74.5500,75.2700,3446378
2016-05-06,74.7150,74.9500,73.3400,74.6000,4196917
2016-05-09,74.7800,75.9000,74.7600,75.5900,2963185
2016-05-10,76.2900,77.1300,76.0500,76.8800,4366043
2016-05-11,75.9700,77.0600,75.8400,76.3100,3716280
2016-05-12,76.7200,76.9430,75.3560,75.9600,4081858
2016-05-13,75.8200,77.0501,75.5700,76.3300,3629660
2016-05-16,75.9800,78.4700,75.8400,78.2900,4580106
2016-05-17,78.2100,78.7100,75.5200,76.3900,7153268
2016-05-18,76.4000,76.8500,75.6100,76.3300,4664873
2016-05-19,75.1200,75.2300,73.7400,74.3100,4848834
2016-05-20,74.7900,75.5400,74.6800,74.8100,4689174
2016-05-23,75.0000,75.1400,73.9200,74.0800,4441221
2016-05-24,74.5500,75.2000,74.3600,74.9900,3712042
2016-05-25,75.4900,75.5000,74.4500,74.5400,4621719
2016-05-26,74.6000,75.6000,74.2700,75.5200,2654566
2016-05-27,75.5200,75.7250,74.6650,74.9900,3247520
2016-05-31,75.0100,75.6299,74.7100,75.0300,4438763
2016-06-01,74.9000,75.4400,74.6800,74.9400,2450242
2016-06-02,75.2200,75.6800,74.9000,75.4600,3231683
2016-06-03,75.5000,75.6000,74.2500,75.1200,5318973
2016-06-06,75.1100,75.4962,74.2000,74.8400,3253932
2016-06-07,74.6200,75.0499,74.5100,74.7000,2902857
2016-06-08,74.6600,75.0900,74.4000,74.9100,3194883
2016-06-09,74.7700,75.5400,74.2400,74.4300,2760462
2016-06-10,74.0900,74.1900,73.1700,73.9500,4124192
2016-06-13,74.0800,74.9700,73.6700,73.8600,3767004
2016-06-14,73.5400,74.3700,73.0600,74.3200,3691821
2016-06-15,74.7300,74.8900,73.6100,73.7100,3408917
2016-06-16,73.4700,74.4700,72.9500,74.2500,4788882
2016-06-17,74.6500,75.0800,73.4750,73.8600,6604924
2016-06-20,74.4500,74.7000,73.2200,73.2800,3640098
2016-06-21,73.7000,73.8000,72.5300,72.5700,6000030
2016-06-22,72.5000,73.9100,72.5000,73.0700,4410906
2016-06-23,73.5900,73.9400,73.2000,73.9400,2989745
2016-06-24,72.4500,75.1200,71.8700,74.3300,10471156
2016-06-27,74.0600,75.0650,73.2000,74.8900,7658173
2016-06-28,75.1300,76.2500,73.7500,75.1500,8011335
2016-06-29,75.8800,78.2400,75.8700,78.1500,7123712
2016-06-30,78.2000,78.8100,77.4600,78.7500,4017154
2016-07-01,78.8900,79.3300,78.3700,78.9500,2909610
2016-07-05,78.8100,79.9000,78.7500,79.6400,3286572
2016-07-06,79.3200,80.4000,79.1000,80.0200,4669765
2016-07-07,79.8300,80.0500,78.6450,79.3200,3587328
2016-07-08,79.3200,79.9000,78.9300,79.6600,3134921
2016-07-11,79.5400,79.7700,78.9500,79.1400,3461430
2016-07-12,79.6300,79.8400,78.9700,79.6700,4429916
2016-07-13,79.9100,80.0300,79.3300,79.3600,2917240
2016-07-14,79.5000,80.6900,79.4000,80.5900,3823780
2016-07-15,80.9800,81.0000,79.9400,80.2200,4529123
2016-07-18,80.3700,80.5900,79.8550,79.9500,3087620
2016-07-19,79.8500,80.2500,79.5800,79.9700,3303716
2016-07-20,80.2700,80.5200,79.9900,80.2800,2811087
2016-07-21,80.2000,80.6000,80.0200,80.4000,2713999
2016-07-22,80.4000,81.7100,80.2800,81.5900,4316534
2016-07-25,81.5900,82.0000,81.0000,81.9800,4179671
2016-07-26,82.7500,83.3500,81.6300,82.0900,5134839
2016-07-27,82.2500,83.5900,82.1500,83.4000,4057228
2016-07-28,83.2500,83.3900,81.9500,82.9300,4862023
2016-07-29,83.0700,83.4500,82.6400,82.8900,3016000
2016-08-01,83.0200,83.7850,82.9400,83.1800,3131148
2016-08-02,83.1400,83.7000,82.5700,83.3200,3340132
2016-08-03,83.4200,83.4200,82.3600,82.7200,2940868
2016-08-04,83.0200,83.0200,82.3700,82.4200,2093693
2016-08-05,82.4200,82.5200,81.0400,81.5600,5886901
2016-08-08,81.4400,81.8500,80.4600,81.6000,4227300
2016-08-09,81.7500,82.1400,80.7000,81.5000,2243034
2016-08-10,80.1200,81.1600,79.6700,80.5500,4956708
2016-08-11,79.9800,80.6650,79.9800,80.5600,2407996
2016-08-12,80.1900,80.7200,79.9000,80.2200,2525029
2016-08-15,80.3300,80.6200,80.0700,80.2600,2780381
2016-08-16,80.2500,80.3999,79.8400,79.8400,2158733
2016-08-17,80.1600,80.3500,79.5800,80.1100,2519548
2016-08-18,80.1000,80.3800,79.4900,79.7800,3037728
2016-08-19,79.5500,79.7900,78.7800,79.0600,3746012
2016-08-22,79.3200,79.9000,79.0200,79.2900,3157037
2016-08-23,79.6800,79.9700,79.4450,79.5700,3407537
2016-08-24,79.7000,79.9900,78.1800,78.4400,3422979
2016-08-25,78.4400,79.1700,77.8000,78.0100,2800533
2016-08-26,78.0500,78.8200,77.8400,78.2400,2602317
2016-08-29,78.3300,78.7400,78.0500,78.6000,2203303
2016-08-30,78.6000,78.6000,77.6300,77.7700,2026249
2016-08-31,77.8900,78.0900,77.5300,77.7500,2182644
2016-09-01,77.7500,78.0000,76.8000,77.2300,3544701
2016-09-02,77.5200,77.6300,76.4500,76.8500,3943353
2016-09-06,77.1200,78.7000,77.1200,78.5100,5528599
2016-09-07,78.4900,78.8850,78.2600,78.5900,2972177
2016-09-08,80.0300,80.1700,79.4100,79.8900,4405396
2016-09-09,79.6200,79.6200,78.2000,78.2400,4152468
2016-09-12,77.9900,79.2900,77.8100,79.0800,3288904
2016-09-13,78.8700,78.8700,77.9900,78.4800,3148995
2016-09-14,78.6700,79.2400,78.0200,78.2900,2660924
2016-09-15,78.1200,79.0600,77.7700,78.8200,2653694
2016-09-16,78.7000,78.9100,78.1700,78.8000,4255102
2016-09-19,78.7900,79.3700,78.4900,79.1600,3321540
2016-09-20,79.6300,80.3450,79.2850,79.8800,3629503
2016-09-21,79.8000,81.0000,79.6800,80.8700,3147586
2016-09-22,81.0500,81.4600,80.7300,81.2900,2639754
2016-09-23,80.9700,81.4561,80.7700,81.1600,2196998
2016-09-26,81.0000,81.1500,79.4990,79.5200,4332389
2016-09-27,80.6200,80.9250,79.6100,80.8800,6888929
2016-09-28,80.8400,81.1700,80.0200,80.7100,2467803
2016-09-29,80.3500,80.4700,79.2300,79.7400,3269150
2016-09-30,80.1000,80.6500,80.0300,80.2600,3622982
2016-10-03,80.0000,81.0700,79.6900,81.0000,3983503
2016-10-04,81.0600,81.4100,80.6800,81.1100,3184071
2016-10-05,81.3500,82.0900,81.2340,81.7500,3560429
2016-10-06,81.2500,81.7800,80.7300,81.4700,2994223
2016-10-07,81.5700,82.3100,81.3000,82.0900,4241408
2016-10-10,82.1300,83.2400,82.1000,83.0600,4608430
2016-10-11,82.6000,82.8500,81.2500,81.8100,4218223
2016-10-12,81.8100,82.2200,80.4600,80.5100,3629801
2016-10-13,79.9300,80.4854,79.6000,80.0000,3565014
2016-10-14,80.1700,80.3200,79.2100,79.2700,3143876
2016-10-17,79.5300,79.5300,78.0100,78.5300,3884657
2016-10-18,79.0900,79.1450,78.5000,78.7700,3218290
2016-10-19,78.9600,79.3300,78.5300,78.5600,2988801
2016-10-20,78.7300,79.1100,78.3900,78.7400,2661919
2016-10-21,78.5400,78.7800,78.0800,78.2500,3214735
2016-10-24,78.4900,78.6900,77.4400,77.5700,4361748
2016-10-25,76.8800,78.2800,75.5000,77.7500,8496226
2016-10-26,77.4200,77.6500,76.3700,76.7600,2988727
2016-10-27,77.3600,77.4200,76.1300,76.1600,3789861
2016-10-28,75.6200,75.6800,73.8600,74.5300,5651341
2016-10-31,74.6300,74.7400,73.8000,73.8400,3562142
2016-11-01,73.8100,73.9800,71.8500,72.9800,8190224
2016-11-02,73.1500,73.4900,72.6400,72.6500,4433872
2016-11-03,72.8100,73.2800,71.8800,72.1100,4843213
2016-11-04,72.1200,73.0300,71.6700,72.4900,3617209
2016-11-07,73.2200,73.9300,73.0500,73.8800,4969412
2016-11-08,73.5700,74.4700,73.3600,74.0200,2690761
2016-11-09,77.1500,79.3000,76.5760,78.3900,7332730
2016-11-10,78.9600,79.7000,78.0000,78.3400,6904770
2016-11-11,77.9700,78.0900,76.7900,77.6700,3072650
2016-11-14,78.0100,78.2400,76.6900,77.0200,3221676
2016-11-15,77.4300,77.5400,76.1800,77.3200,3097568
2016-11-16,77.5200,77.5200,76.8200,76.9400,1922331
2016-11-17,77.0000,77.8100,76.7300,77.7100,4519168
2016-11-18,77.5800,77.9200,76.5200,76.6700,4571592
2016-11-21,76.8000,77.0400,76.1000,76.6400,4060274
2016-11-22,77.8100,77.8100,75.5000,75.9900,5208711
2016-11-23,64.3400,68.4300,64.1800,68.0000,53944289
2016-11-25,68.5300,69.1400,67.7801,69.1200,8620682
2016-11-28,68.4300,68.4300,67.1000,67.2000,12507732
2016-11-29,67.5700,67.6400,66.4800,67.1500,8930019
2016-11-30,67.3000,67.8200,66.8100,67.1200,9085283
2016-12-01,66.1650,67.3000,65.6600,65.9700,7167268
2016-12-02,66.3000,68.3900,65.9600,67.7100,12271667
2016-12-05,68.1600,68.3100,66.7400,67.2600,7285951
2016-12-06,67.2000,67.9250,67.1300,67.8000,4617182
2016-12-07,67.2500,67.3800,66.5600,67.3800,5835882
2016-12-08,67.0500,67.2700,66.3900,67.1900,4811270
2016-12-09,67.3800,68.1700,67.2200,67.8500,4350764
2016-12-12,67.9800,68.5400,67.4200,67.6100,5273498
2016-12-13,67.9900,68.8900,67.9900,68.6400,6010936
2016-12-14,68.4200,68.9200,67.5400,67.6700,6140299
2016-12-15,70.3700,71.5900,69.6600,71.3700,14321496
2016-12-16,72.8600,73.7100,71.7600,73.3100,17584505
2016-12-19,73.4800,74.4900,73.2950,73.4200,6102447
2016-12-20,73.6476,74.0998,73.0000,73.3800,6001496
2016-12-21,73.3300,73.8900,73.1000,73.2500,5054141
2016-12-22,73.1600,73.4800,72.6800,73.2600,4827505
2016-12-23,73.4800,74.0000,73.2600,73.7900,2570475
2016-12-27,74.0600,74.4600,73.6800,73.8100,2786711
2016-12-28,73.6600,73.7800,72.9700,73.0600,3256811
2016-12-29,73.3899,73.8700,73.2400,73.5600,3031926
